# Proyect: GOES-R Full Disk
# Product: Convective Available Potential Energy (CAPE)
# Units: [J kg-1]
# Time: UTC
# Spatial resolution: 10km
# Time resolution: 10 min
time_start, time_end, LFA, Airport, CHC, Ancohuma
2023-10-18T15:50:20.6Z, 2023-10-18T15:59:51.4Z, nan, nan, 0.0, nan
2023-10-08T00:40:20.5Z, 2023-10-08T00:49:51.3Z, 0.0, 0.0, 0.0, nan
2023-10-19T18:20:20.4Z, 2023-10-19T18:29:51.3Z, nan, nan, nan, nan
2023-10-14T18:30:20.2Z, 2023-10-14T18:39:51.0Z, 22.279870986938477, 0.0, 0.0, 0.0
2023-10-19T17:50:20.4Z, 2023-10-19T17:59:51.3Z, nan, nan, nan, nan
2023-10-25T18:00:20.7Z, 2023-10-25T18:09:51.5Z, 68.67083740234375, 0.0, nan, nan
2023-10-17T05:50:20.5Z, 2023-10-17T05:59:51.4Z, 0.0, 0.0, 0.0, 0.0
2023-10-18T08:00:20.6Z, 2023-10-18T08:09:51.4Z, nan, 0.0, nan, 0.0
2023-10-11T12:50:20.9Z, 2023-10-11T12:59:51.7Z, 0.0, 0.0, 0.0, 0.0
2023-10-01T05:40:20.5Z, 2023-10-01T05:49:51.2Z, nan, nan, nan, 0.0
2023-10-18T07:20:20.6Z, 2023-10-18T07:29:51.4Z, nan, 0.0, nan, 0.0
2023-10-17T19:10:20.4Z, 2023-10-17T19:19:51.2Z, 0.0, 0.0, 0.0, nan
2023-10-14T01:30:20.7Z, 2023-10-14T01:39:51.5Z, nan, nan, 0.0, 0.0
2023-10-07T08:30:20.7Z, 2023-10-07T08:39:51.5Z, 0.0, 0.0, 0.0, 0.0
2023-10-25T21:10:20.7Z, 2023-10-25T21:19:51.5Z, 0.0, nan, 0.0, nan
2023-10-23T09:20:20.8Z, 2023-10-23T09:29:51.6Z, nan, nan, nan, 0.5341064929962158
2023-10-22T14:00:20.8Z, 2023-10-22T14:09:51.6Z, 0.0, 0.0, 0.0, nan
2023-10-28T02:00:20.8Z, 2023-10-28T02:09:51.6Z, nan, nan, 43.18632507324219, nan
2023-10-26T13:00:21.0Z, 2023-10-26T13:09:51.8Z, nan, nan, nan, nan
2023-10-22T10:30:20.8Z, 2023-10-22T10:39:51.6Z, nan, 0.0, 0.0, nan
2023-10-10T13:40:20.8Z, 2023-10-10T13:49:51.6Z, 0.0, 0.0, nan, nan
2023-10-12T03:10:20.7Z, 2023-10-12T03:19:51.4Z, 0.0, 0.0, 0.0, 0.0
